month	high	low	tot_precip	tot_sun	days
jan	5.2	-0.2	64.8	47.4	31
feb	6.2	-0.4	42.7	74.1	28
mar	9.8	1.7	63.0	105.7	31
apr	13.3	3.4	44.4	151.7	30
may	18.1	7.4	58.8	193.5	31
jun	20.4	10.2	74.3	172.5	30
jul	22.6	12.2	62.6	183.1	31
aug	22.9	11.7	56.2	182.9	31
sep	19.0	9.4	68.9	127.4	30
oct	14.3	6.1	66.2	102.8	31
nov	8.9	2.8	69.9	55.8	30
dec	6.2	1.0	72.3	40.0	31
